Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2015-01-14,6.134329319000244,10.4399995803833,0.0,10.4399995803833,10.18000030517578,10.329999923706056,0.0,454500,Wednesday,1,2015,1,5.993311405181885,6.063584577469599,0.12828503259577803,0.003845704564772623,0.7799120858894928,38.01369033512493,0.3055400848388672,6.0898689985275265,6.5168899342525926,5.6628480628024604
2015-01-15,6.140203952789307,10.449999809265137,0.0,10.649999618530272,10.420000076293944,10.600000381469728,0.0,2293600,Thursday,1,2015,1,6.038638591766357,6.092265901111421,0.11321251776284964,0.0009576652122125218,0.7806589805627333,33.76713270708571,0.3172903060913086,6.115008401870727,6.48530776138201,5.744709042359445
2015-01-16,6.157834053039551,10.479999542236328,0.0,10.56999969482422,10.31999969482422,10.31999969482422,0.0,141300,Friday,1,2015,1,6.0814482825143,6.117047718593052,0.08728405537877063,0.002871256457570137,0.7829004527018342,40.42557477516055,0.2996678352355957,6.127565002441406,6.4849286847125915,5.77020132017022
2015-01-20,6.005062103271484,10.220000267028809,0.0,10.479999542236328,10.109999656677246,10.380000114440918,0.0,419400,Tuesday,1,2015,1,6.095718043191092,6.121731531052363,0.056343889165208993,-0.02480936453502791,0.763477189976116,38.7757558158472,0.09988832473754794,6.1196043491363525,6.480599666385047,5.758609031887658
2015-01-21,6.034441947937012,10.270000457763672,0.0,10.369999885559082,10.15999984741211,10.260000228881836,0.0,458800,Wednesday,1,2015,1,6.094878605433872,6.115548996698289,0.05734176329585029,0.004892513043207591,0.7672125120862656,41.89182816735829,-0.005876064300537109,6.107843995094299,6.463543987179268,5.752144003009331
2015-01-22,6.128458499908447,10.43000030517578,0.0,10.579999923706056,10.279999732971191,10.369999885559082,0.0,404800,Thursday,1,2015,1,6.101594107491629,6.108825638180687,0.05825241427293909,0.015579991121395631,0.7791656762127933,51.31594683250188,0.047008514404296875,6.095808720588684,6.429912915545187,5.76170452563218
2015-01-23,6.151957035064697,10.470000267028809,0.0,10.529999732971191,10.380000114440918,10.420000076293944,0.0,491300,Friday,1,2015,1,6.10746955871582,6.098482449849446,0.06133182919892928,0.003834330469334235,0.7821532549057555,55.782329449408685,0.04112815856933594,6.084655666351319,6.393449105875712,5.775862226826925
2015-01-26,6.181337356567383,10.520000457763672,0.0,10.579999923706056,10.43000030517578,10.539999961853027,0.0,841100,Monday,1,2015,1,6.114184992653983,6.089259556361607,0.0670682303123442,0.0047757683181506305,0.7858886376404728,76.31572016062496,0.04700803756713867,6.071459245681763,6.33453953617675,5.808378955186776
2015-01-27,6.216593265533447,10.579999923706056,0.0,10.640000343322754,10.380000114440918,10.380000114440918,0.0,803600,Tuesday,1,2015,1,6.125097751617432,6.078370389484224,0.07742279489234126,0.005703605374103526,0.7903710362975659,78.15119975886162,0.07638931274414062,6.066464924812317,6.313247757387927,5.819682092236707
2015-01-28,6.175303936004639,10.470000267028809,0.04,10.649999618530272,10.420000076293944,10.550000190734863,0.0,1514500,Wednesday,1,2015,1,6.127593449183872,6.071647734869094,0.07892098473491255,-0.006641793626378623,0.7851215549862105,72.48373605005416,0.01746988296508789,6.065282225608826,6.3096059761713095,5.820958475046342
